#Filename               , index,   readouts,   discards,     events,     ev_gbl, nonzero, firstnz, lastnz,  nonzero_gbl, firstnz_glbl,  lastnz_glbl
datafile000.bin         ,     0,      26503,       6141,      20362,      20362,     487,     181,   1231,          487,          181,         1231
datafile001.bin         ,     1,      27192,       6587,      20605,      40967,     477,     186,   1231,          558,          181,         1231
datafile002.bin         ,     2,      26924,       6425,      20499,      61466,     475,     187,   1232,          610,          181,         1232
datafile003.bin         ,     3,      27378,       6569,      20809,      82275,     485,     186,   1231,          653,          181,         1232
datafile004.bin         ,     4,      27217,       6366,      20851,     103126,     482,     187,   1231,          692,          181,         1232
datafile005.bin         ,     5,      27008,       6363,      20645,     123771,     465,     188,   1231,          714,          181,         1232
datafile006.bin         ,     6,      26601,       6367,      20234,     144005,     483,     187,   1231,          733,          181,         1232
datafile007.bin         ,     7,      10289,       2504,       7785,     151790,     386,      20,   1231,          743,           20,         1232
datafile008.bin         ,     8,      26974,       6388,      20586,     172376,     479,     187,   1231,          771,           20,         1232
datafile009.bin         ,     9,      27281,       6516,      20765,     193141,     490,     186,   1231,          790,           20,         1232
datafile010.bin         ,    10,      27403,       6583,      20820,     213961,     482,     188,   1231,          808,           20,         1232
datafile011.bin         ,    11,      27309,       6541,      20768,     234729,     474,      18,   1231,          821,           18,         1232
datafile012.bin         ,    12,      27510,       6517,      20993,     255722,     484,     187,   1231,          836,           18,         1232
datafile013.bin         ,    13,      27923,       6674,      21249,     276971,     482,     152,   1231,          851,           18,         1232
datafile014.bin         ,    14,      27630,       6676,      20954,     297925,     467,      19,   1231,          861,           18,         1232
datafile015.bin         ,    15,      27894,       6581,      21313,     319238,     475,     187,   1231,          866,           18,         1232
datafile016.bin         ,    16,      27778,       6533,      21245,     340483,     471,     187,   1231,          875,           18,         1232
datafile017.bin         ,    17,      27993,       6517,      21476,     361959,     484,     182,   1231,          882,           18,         1232
datafile018.bin         ,    18,      27694,       6511,      21183,     383142,     467,     186,   1231,          887,           18,         1232
datafile019.bin         ,    19,      27450,       6440,      21010,     404152,     470,     188,   1231,          892,           18,         1232
datafile020.bin         ,    20,      27643,       6549,      21094,     425246,     478,      19,   1231,          899,           18,         1232
datafile021.bin         ,    21,      27490,       6526,      20964,     446210,     484,     187,   1231,          903,           18,         1232
datafile022.bin         ,    22,      27645,       6564,      21081,     467291,     489,      84,   1231,          910,           18,         1232
datafile023.bin         ,    23,      27642,       6500,      21142,     488433,     476,     188,   1232,          915,           18,         1232
